fecha;sol;tmin;tmax;prec
19/03/2014;10,2;10;25;0
20/03/2014;8,7;10;23;0
21/03/2014;8,9;9;22;0,5
22/03/2014;9;9;22;0,5
23/03/2014;9,3;7;22;0,5
24/03/2014;9,2;7;22;0
25/03/2014;10,6;6;21;0
26/03/2014;8,3;7;19;2
27/03/2014;7,4;8;18;10
28/03/2014;6,1;8;18;10
29/03/2014;5,2;9;18;11
30/03/2014;4,2;10;19;3
31/03/2014;5,2;11;20;4,5
01/04/2014;5,2;11;20;3,5
02/04/2014;6,1;11;20;5
03/04/2014;6,4;11;21;3,5
04/04/2014;7,7;11;22;2
05/04/2014;9,2;11;24;0
06/04/2014;10,7;12;27;0
07/04/2014;10,4;13;29;0
08/04/2014;11,1;13;30;0
09/04/2014;10,7;14;30;0
10/04/2014;9,4;14;28;0
11/04/2014;9,3;13;28;0
12/04/2014;9,4;14;28;0
13/04/2014;9,4;14;27;0
14/04/2014;9;13;27;0
15/04/2014;10,4;13;29;0
16/04/2014;9,3;14;28;0
17/04/2014;8,8;14;27;0
18/04/2014;7,3;14;25;0,5
19/04/2014;5,8;14;23;5,5
20/04/2014;5,5;13;21;6,5
21/04/2014;5,2;13;21;6
22/04/2014;5,5;12;21;1
23/04/2014;7,5;11;22;0
24/04/2014;9,7;11;24;0
25/04/2014;10,1;11;25;0
26/04/2014;11,7;11;26;0
27/04/2014;12,9;12;28;0
28/04/2014;12,9;13;30;0
29/04/2014;13,1;14;31;0
30/04/2014;13,1;14;32;0
01/05/2014;13,2;15;32;0
02/05/2014;13,2;15;32;0
03/05/2014;13,3;14;32;0
04/05/2014;13,3;14;32;0
05/05/2014;13,1;14;33;0
06/05/2014;12,9;14;32;0
07/05/2014;12,8;15;33;0
08/05/2014;12,6;16;33;0
09/05/2014;12,6;17;33;0
10/05/2014;13;18;34;0
11/05/2014;13,2;18;35;0
12/05/2014;13,2;18;35;0
13/05/2014;13,3;17;35;0
14/05/2014;13,3;17;34;0
15/05/2014;13,2;16;33;0
16/05/2014;12,8;16;31;0
17/05/2014;12,4;15;30;0
18/05/2014;11,2;15;28;0
19/05/2014;10,1;14;26;2
20/05/2014;9,7;14;25;2,5
21/05/2014;9,9;13;24;2,5
22/05/2014;10;13;24;0,5
23/05/2014;11,3;12;25;0
24/05/2014;12,6;11;26;0
25/05/2014;12,9;12;27;0
26/05/2014;11,9;13;27;0
27/05/2014;12,3;13;28;0
28/05/2014;12,4;14;29;0
29/05/2014;12,1;15;30;0
30/05/2014;12;15;30;0
31/05/2014;13,2;15;31;0
01/06/2014;13,2;15;32;0
02/06/2014;13,2;15;32;0
03/06/2014;12,8;15;32;0
04/06/2014;12,9;16;31;0
05/06/2014;12,1;17;30;0
06/06/2014;11,4;17;30;0
07/06/2014;11,3;16;30;0
08/06/2014;11,1;17;30;0
09/06/2014;11,1;17;32;0
10/06/2014;12;17;33;0
11/06/2014;12,6;18;35;0
12/06/2014;12,5;19;37;0
13/06/2014;13,3;20;38;0
14/06/2014;13,4;21;37;0
15/06/2014;13,3;20;36;0
16/06/2014;12,8;20;34;0
17/06/2014;12,6;20;32;0
18/06/2014;12,6;19;30;0
19/06/2014;11,7;19;29;0
20/06/2014;11,7;18;28;0
21/06/2014;11,6;17;28;0
22/06/2014;10,2;17;27;0,5
23/06/2014;10,1;17;28;0,5
24/06/2014;11,1;17;28;0,5
25/06/2014;11,4;17;30;0
26/06/2014;12,2;17;31;0
27/06/2014;13,9;17;33;0
28/06/2014;14,2;17;33;0
29/06/2014;13,8;17;34;0
30/06/2014;12,9;17;32;0
01/07/2014;12,7;17;31;0
02/07/2014;12,3;17;31;0
03/07/2014;12,3;18;31;0
04/07/2014;12;18;31;0
05/07/2014;12,8;19;32;0
06/07/2014;13;19;34;0
07/07/2014;13,3;19;34;0
08/07/2014;12,5;19;35;0
09/07/2014;13,3;19;36;0
10/07/2014;13,3;19;36;0
11/07/2014;12,5;20;35;0
12/07/2014;12,1;20;35;0
13/07/2014;12,8;20;36;0
14/07/2014;12,6;20;37;0
15/07/2014;12,4;21;38;0
16/07/2014;11,7;21;38;0
17/07/2014;11,3;21;36;0
18/07/2014;11,3;20;34;0
19/07/2014;11,5;19;34;0
20/07/2014;11,7;19;34;0
21/07/2014;13,1;19;34;0
22/07/2014;13,6;19;35;0
23/07/2014;13,6;19;36;0
24/07/2014;13,1;19;35;0
25/07/2014;12,9;20;34;0
26/07/2014;12,3;19;33;0
27/07/2014;11,2;19;33;0
28/07/2014;10,6;19;33;0
29/07/2014;9,8;20;32;0
30/07/2014;8,6;19;31;0
31/07/2014;9,1;18;31;0
01/08/2014;10,3;18;31;0
02/08/2014;10,9;18;31;0
03/08/2014;12,1;18;33;0
04/08/2014;13,4;18;34;0
05/08/2014;13,4;19;36;0
06/08/2014;13,4;19;37;0
07/08/2014;13,4;20;37;0
08/08/2014;13,4;20;37;0
09/08/2014;13,3;20;37;0
10/08/2014;13,3;20;36;0
11/08/2014;13,3;20;36;0
12/08/2014;13,3;20;36;0
13/08/2014;13,2;19;36;0
14/08/2014;13,2;19;37;0
15/08/2014;13;20;37;0
16/08/2014;12,5;20;36;0
17/08/2014;11,6;20;36;0
18/08/2014;11;21;35;0
19/08/2014;10,9;20;34;0
20/08/2014;11,1;19;33;0
21/08/2014;11,5;18;34;0
22/08/2014;12,2;18;35;0
23/08/2014;12,8;18;36;0
24/08/2014;12,8;19;36;0
25/08/2014;12,7;19;38;0
26/08/2014;12,7;20;39;0
27/08/2014;12,6;21;39;0
28/08/2014;12,5;21;38;0
29/08/2014;12,4;20;37;0
30/08/2014;12,3;20;37;0
31/08/2014;12;20;36;0
01/09/2014;11,4;21;35;0
02/09/2014;11,5;21;35;0
03/09/2014;11,4;21;35;0
04/09/2014;11,2;21;33;0
05/09/2014;9,8;20;32;0
06/09/2014;9,8;20;32;2
07/09/2014;9,2;20;31;2
08/09/2014;9;20;31;2
09/09/2014;9;20;30;0
10/09/2014;10,1;20;31;0
11/09/2014;10,6;20;32;0
12/09/2014;10,9;20;31;0
13/09/2014;10,5;20;31;0
14/09/2014;9,5;19;31;0
15/09/2014;9,2;19;30;8,5
